SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
1,20190001,M,189,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,41,,,41,,46.4,55.8,,,,,,,,,,,,,,,,,,,,,,,,48.9,,,,,,,,,,1
2,20190002,M,256,NA,IP (X),SCHOOL X,0,72,,,71.5,,,,91.9,85.9,,,,66,,,,,,,,,,,,,,,,,,,,,,,,88,,,,1
3,20190003,M,231,NA,IP (X),SCHOOL X,0,64,,,63,,,71.4,64.7,,,,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,20190004,M,255,NA,IP (X),SCHOOL X,0,59,,,49,,,58.2,52.2,,,,,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,20190005,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,56,,,37.5,,,59.3,42.7,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,20190006,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,63,,,81.5,,,73.4,69.7,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,51,,,,,,1
7,20190007,M,255,NA,IP (X),SCHOOL X,0,54,,,55.5,,,,39.5,,,,,56,,67,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,20190008,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,57,,,75,,,,67.5,70.3,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,20190009,F,261,NA,IP (Y),SCHOOL Y,0,64,,,57.5,,,,66,62.9,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,20190010,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,65,,,61,,,,59.5,,,,,66.7,,,,75.5,,,,,,,,,,,,,,,,,,,,,,,,1
11,20190011,F,260,NA,IP (Y),SCHOOL Y,0,59,,,79.5,,,69.5,69.3,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,20190012,F,221,NA,DSA (CCA),SHUQUN SECONDARY SCHOOL,0,41,,,17.5,,,,31.4,31.3,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,1
13,20190013,F,230,NA,Appeals (Academic),RIVERSIDE SECONDARY SCHOOL,0,63,,,76,,,,70.2,65.7,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,52,,,,1
14,20190014,M,0,NA,JAE Ordinary Admission,SCHOOL X,0,56,,,55.5,,,59.8,48.6,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,20190015,F,263,NA,IP (Y),SCHOOL Y,0,69,,,72,,,,71.2,70.3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,20190016,F,259,NA,IP (Y),SCHOOL Y,0,57,,,69.5,,75.8,64.9,,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,48,,,,,,2
17,20190017,M,266,NA,IP (X),SCHOOL X,0,73,,,53,,,,,,,67.3,,,65.5,,,,,,,,,,,76.2,,,,,,,,,,,,,,,,1
18,20190018,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,67,,,65,,,,55,64.3,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,20190019,F,253,NA,IP (Y),SCHOOL Y,0,62,,,58.5,,,57.7,46.6,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,20190020,M,240,NA,DSA (CCA),ANGLO-CHINESE SCHOOL (BARKER ROAD),0,57,,,39,,,52.2,48.5,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,,,,1
21,20190021,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,69,,,63.5,,66.8,,53.7,,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,,,,,1
22,20190022,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,57,,,66.5,,,64.9,70.9,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,20190023,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,61,,,51,,,,58.9,65.6,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,20190024,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,60,,,72.5,,,69.9,62.7,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,20190025,F,263,NA,IP (Y),SCHOOL Y,0,67,,,57,,,,,,64.7,,48.7,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,20190026,M,262,NA,IP (X),SCHOOL X,0,61,,,64.5,,,68.7,70.6,,,,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
